OrderID,TaskChain,ActorCount,Makespan,Energy,SafetyViol
1,TaskD-TaskI-TaskN,207,1340.339241706692,1.1364013529498251,1.0759709775218822e-07
2,TaskE-TaskJ-TaskO,239,1276.6290001744549,1.6248876369634853,8.310210917845019e-07
3,TaskC-TaskH-TaskM,103,693.2502548580328,0.8293981379211829,7.09608778340923e-07
4,TaskE-TaskJ-TaskO,243,1172.2255337917202,1.167364809055512,6.210466178191218e-07
5,TaskE-TaskJ-TaskO,71,1253.0394503247398,1.4589564035326072,1.6442105506194384e-07
6,TaskB-TaskG-TaskL,136,1111.8718417456662,1.5585077954074906,4.837111550934023e-07
7,TaskC-TaskH-TaskM,123,932.9175712611618,1.492448797354293,7.827504666183417e-07
8,TaskC-TaskH-TaskM,40,1482.6787830234273,1.6373075312881156,3.1058769876240185e-07
9,TaskC-TaskH-TaskM,75,1130.2818561854044,0.807306497887807,3.1857293022989106e-07
10,TaskE-TaskJ-TaskO,130,1395.3088547456455,0.9211294399730259,1.3109496987640896e-08
11,TaskD-TaskI-TaskN,109,1270.2956858947014,1.842733102734974,1.8250096762892576e-07
12,TaskC-TaskH-TaskM,244,1092.8269320446607,1.6180983729081935,8.76651568870616e-07
13,TaskE-TaskJ-TaskO,95,884.0598177052746,0.9355179712232136,4.4732902672133e-07
14,TaskB-TaskG-TaskL,34,995.1790243694998,1.8104893248782952,9.843921542420896e-07
15,TaskD-TaskI-TaskN,125,955.6175094412894,1.0906774613894803,4.0175088393805467e-07
16,TaskB-TaskG-TaskL,140,757.096208870146,1.3739118610342682,7.180345902324388e-07
17,TaskD-TaskI-TaskN,249,1130.0563149919406,0.9742358154615924,2.8909985247568185e-07
18,TaskE-TaskJ-TaskO,54,1313.4706003918818,1.652132067706048,3.701715447295242e-07
19,TaskA-TaskF-TaskK,32,940.3393010897106,1.6002253052171214,1.9881872771498572e-07
20,TaskD-TaskI-TaskN,209,1432.7312998449474,1.0533349653993636,3.5359174481440106e-07
21,TaskB-TaskG-TaskL,43,688.4834428276533,1.8360809202284023,5.517651452164368e-07
22,TaskE-TaskJ-TaskO,44,1210.8727096774408,1.2815672290636546,9.91855152169457e-07
23,TaskD-TaskI-TaskN,217,1334.304047081082,1.1510181092848901,6.675596959410679e-07
24,TaskA-TaskF-TaskK,14,959.1938838037879,0.9827955073574426,2.0725349486423092e-07
25,TaskA-TaskF-TaskK,154,962.7886989714239,1.119401615018645,5.451182717563563e-08
26,TaskC-TaskH-TaskM,4,1208.5530351688803,0.8264323054685805,1.3509291650136552e-07
27,TaskC-TaskH-TaskM,49,1101.1982219919068,1.4999089909473389,5.66929649260317e-07
28,TaskB-TaskG-TaskL,104,600.5177313080986,1.8106768956127375,7.675087255285987e-07
29,TaskD-TaskI-TaskN,152,831.3253690921239,1.4587765393299703,9.410150152277395e-07
30,TaskD-TaskI-TaskN,93,997.290090390508,1.063128754308651,2.566494027685261e-08
31,TaskC-TaskH-TaskM,113,726.0603640629865,0.8404030138566473,5.275325401462512e-07
32,TaskD-TaskI-TaskN,167,905.1651367140192,1.0575536879105634,4.7615868266094503e-07
33,TaskD-TaskI-TaskN,185,731.0629149512131,1.2993457136853108,6.59494471755947e-07
34,TaskA-TaskF-TaskK,218,925.965873889322,1.7115337144397558,5.639830659206886e-07
35,TaskC-TaskH-TaskM,60,932.6754545357678,1.025411423045329,6.901687590766558e-07
36,TaskE-TaskJ-TaskO,4,1070.3509353187426,1.6637497440256235,6.615017589016985e-07
37,TaskC-TaskH-TaskM,66,981.6481352000999,1.8403201620222605,1.2584160760936675e-07
38,TaskE-TaskJ-TaskO,185,1100.5579442081512,1.3447362177300284,8.017207344825325e-07
39,TaskA-TaskF-TaskK,58,1076.7088014947842,1.785718389971112,1.320002499591616e-07
40,TaskB-TaskG-TaskL,118,1206.267998852862,1.4655888176421148,7.015453189570458e-07
41,TaskD-TaskI-TaskN,171,1174.7566081920231,1.564509004497086,4.2198391396420066e-07
42,TaskA-TaskF-TaskK,146,1153.6247670269433,1.4315341524058431,5.187122272308319e-07
43,TaskD-TaskI-TaskN,152,1620.9734856933442,1.35580726010161,9.042650342319535e-07
44,TaskB-TaskG-TaskL,178,1069.4805273284658,1.0815841301310192,8.909848892087517e-07
45,TaskB-TaskG-TaskL,204,1518.7143007717723,1.1638328713532553,8.196777425984793e-07
46,TaskA-TaskF-TaskK,56,1082.4436804487866,1.1479641427323308,5.150468966517601e-07
47,TaskB-TaskG-TaskL,140,983.4298170388216,1.4759467171445777,7.388774120324948e-07
48,TaskE-TaskJ-TaskO,205,925.3669635573606,0.9439444316286679,5.177680849636213e-07
49,TaskB-TaskG-TaskL,183,1301.9451596896859,1.9001500288428022,8.709100216500297e-07
50,TaskD-TaskI-TaskN,60,1328.1006785775876,1.6647861743397359,4.0874807490057094e-07
51,TaskD-TaskI-TaskN,120,1119.9567711929458,1.2817347570958324,9.70532990970728e-07
52,TaskD-TaskI-TaskN,157,1226.7093549005413,0.9903489734316536,9.329995306465888e-07
53,TaskD-TaskI-TaskN,172,744.5559068153833,1.858390603665963,7.441865932572677e-07
54,TaskE-TaskJ-TaskO,38,690.2440354975577,1.7885337081213981,2.866217253343113e-07
55,TaskC-TaskH-TaskM,66,1249.2653771594908,1.6660658632606151,1.4033705290532583e-07
56,TaskA-TaskF-TaskK,247,974.6377004193956,1.1258564568934908,8.561564155922656e-07
57,TaskD-TaskI-TaskN,28,1149.8604834795005,1.2829359649204028,1.736492632765817e-07
58,TaskB-TaskG-TaskL,93,856.5424100087844,0.923297902942908,8.557181811073624e-07
59,TaskD-TaskI-TaskN,78,1331.3976939409552,1.026847429673038,4.958573566452369e-07
60,TaskB-TaskG-TaskL,41,691.9162656221927,1.7396199647800794,4.124912159700232e-07
61,TaskB-TaskG-TaskL,133,722.8829827034623,1.6580464626208204,9.041588710460849e-07
62,TaskD-TaskI-TaskN,138,1288.862316742469,1.5121829155711217,6.078124727148752e-07
63,TaskE-TaskJ-TaskO,213,478.03164140341994,1.8748720711114075,5.808478670584206e-07
64,TaskB-TaskG-TaskL,222,1075.7137736189832,1.4999198213756544,5.631782851781538e-07
65,TaskB-TaskG-TaskL,165,978.5348008806847,1.3603615999563328,3.7745782085933613e-07
66,TaskD-TaskI-TaskN,94,852.809616159994,1.2084448955669154,7.87786672493836e-07
